Brand Name,Device Type,Model Name,Color,Selling Price,Sales Qantity,Rating (Out of 5),Strap Material,Average Battery,date
APPLE,Smartwatch,Gen 3 Q Explorist,Silver,"3,999",10,4.2,Stainless Steel,2,13-09-2022
GARMIN,Smartwatch,Fenix 6 Sapphire Gray DLC,Black,"74,990",10,,Leather,30,01-07-2023
FitBit,FitnessBand,Charge HR,"Orange, Pink, Green","14,990",7,3.9,Thermoplastic polyurethane,7,04-03-2022
FitBit,FitnessBand,Charge 2,Light Blue,"14,999",7,4.4,Silicone,7,03-08-2023
SAMSUNG ,Smartwatch,Galaxy Classic 4,Silver,"34,999",23,4.6,Elastomer,14,06-12-2022
APPLE,Smartwatch,Gen 5 Julianna HR,Grey,"15,995",24,4.3,Stainless Steel,2,05-09-2022
GARMIN,Smartwatch,Venu 2S,"Grey, White","37,990",23,4.2,Silicone,14,28-04-2023
Noise,Smartwatch,NoiseFit Endure,"Grey, Green","2,599",14,3.9,Silicone,7,10-04-2023
APPLE,Smartwatch,FTW1142 Q Hybrid,Silver,"9,796",11,3.7,Stainless Steel,2,24-05-2022
GARMIN,Smartwatch,Venu 2,"Black, Blue","41,990",24,4.7,Leather,14,30-05-2023
SAMSUNG ,Smartwatch,Galaxy Watch 4 LTE,Black,"31,999",13,4.6,Elastomer,14,16-01-2022
SAMSUNG ,Smartwatch,Gear Live,Black,"15,900",24,4.2,Rubber,7,12-01-2023
APPLE,Smartwatch,Jacqueline Hybrid,Black,"11,995",10,4.6,Leather,12,18-04-2023
Noise,Smartwatch,ColorFit Qube SpO2,"Charcoal Grey, Black, Pink","2,499",11,4.3,Thermoplastic polyurethane,7,23-04-2022
APPLE,Smartwatch,FTW1140 Q Hybrid,Blue,"6,995",5,3.8,Stainless Steel,2,06-06-2022
GARMIN,Smartwatch,Vivoactive HR,Black,"21,990",17,3.5,Silicone,14,09-12-2022
APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Red Aluminium Case,Red,"45,690",24,4.5,Aluminium,1,03-07-2022
APPLE,Smartwatch,Collider Hybrid,Black,"16,495",9,4,Silicone,14,04-10-2022
APPLE,Smartwatch,Garrett Hybrid,Black,"6,995",6,3.7,Stainless Steel,12,22-03-2022
FitBit,Smartwatch,Blaze,Purple,"17,999",5,4.2,Elastomer,7,11-12-2022
FitBit,Smartwatch,Versa,Black ,"20,590",10,4.1,Silicone,7,31-03-2022
APPLE,Smartwatch,FTW1151 Hybrid,Gold,"8,995",18,4.3,Leather,2,25-08-2022
APPLE,Smartwatch,Series 6 GPS 44 mm Silver Aluminium Case,White,"43,900",24,4.5,Aluminium,1,10-11-2022
realme,FitnessBand,Smart band,Grey,"1,450",11,4,Silicone,7,06-08-2022
APPLE,Smartwatch,Series 6 GPS 40 mm Silver Aluminium Case,White,"37,490",7,4.5,Aluminium,1,14-03-2022
GARMIN,Smartwatch,Vivomove 3S,Black,"19,990",13,,Silicone,14,11-04-2023
FitBit,FitnessBand,FB413LVLV,Lilac ,"8,807",24,4.1,Silicone,5,14-01-2022
SAMSUNG ,Smartwatch,Galaxy Classic 4,Silver,"34,999",14,4.6,Elastomer,14,13-04-2022
APPLE,Smartwatch,Series 3 GPS + Cellular- 42 mm White Ceramic Case,Black,"1,22,090",21,4.6,Nylon,1,17-09-2022
SAMSUNG ,Smartwatch,Galaxy Watch LTE,Beige,"27,490",20,4.2,Silicone,14,26-01-2022
boAt,Smartwatch,Watch 2 Sport,Black,"29,999",8,3.8,Silicone,7,18-04-2022
FitBit,Smartwatch,Versa 2,Purple ,"13,499",10,4.3,Silicone,7,20-03-2023
APPLE,Smartwatch,4th Gen Venture HR,Black,"17,596",23,3.9,Stainless Steel,14,21-12-2022
FitBit,FitnessBand,Charge 4,Granite Reflective ,"10,999",23,4.2,Elastomer,7,31-07-2023
Honor,FitnessBand,Band 5i,Black,"2,469",6,4.2,Plastic,7,04-02-2023
APPLE,Smartwatch,Garrett Hybrid,Silver,"10,496",16,3.7,Stainless Steel,12,08-08-2023
APPLE,Smartwatch,SE 40 mm Space Grey Aluminium Case,"Black, Pink, White","27,400",10,4.7,Aluminium,1,07-07-2022
FitBit,FitnessBand,Charge 2,Plum silver,"14,999",7,4.4,Silicone,7,24-02-2022
GARMIN,Smartwatch,Forerunner 245 Music,"Black, Red ","30,000",22,4.2,Silicone,7,16-09-2022
Crossbeats,Smartwatch,Fit-650,Black,"2,949",5,3.1,Leather,3,02-07-2023
GARMIN,Smartwatch,Fenix 6X Solar,"Black, Grey","1,05,990",22,,Leather,45,31-03-2022
FitBit,Smartwatch,Versa 2,"Grey, Pink, Black","11,999",10,4.3,Silicone,7,12-01-2022
SAMSUNG ,FitnessBand,Galaxy Fit,Silver,"8,990",17,4,Rubber,7,14-07-2023
boAt,Smartwatch,Watch 32564546,Black,"49,999",21,4.1,Silicone,14,15-09-2022
Noise,Smartwatch,ColorFit Pro 3,"Green, Grey, Black, Blue, Pink, Red","3,999",19,4.2,Thermoplastic polyurethane,7,19-03-2022
SAMSUNG ,FitnessBand,Galaxy Fit-e Smart,Yellow,"2,490",12,3.8,Rubber,7,12-03-2023
boAt,Smartwatch,Watch 2,Black,"25,999",19,3.9,Leather,7,12-09-2022
Noise,Smartwatch,Fit Evolve,"Red, Black","5,499",10,3.9,Thermoplastic polyurethane,7,15-02-2023
SAMSUNG ,Smartwatch,Gear S2 Classic,Black,"18,999",17,4.2,Leather,14,08-04-2023
Crossbeats,Smartwatch,Ignite Pro,"Silver, Black","2,999",5,4.2,Silicone,7,17-03-2022
SAMSUNG ,Smartwatch,Galaxy Classic 4 LTE,Black,"28,999",13,5,Elastomer,14,19-03-2022
GARMIN,Smartwatch,Fenix 5,Black,"47,990",7,,Silicone,30,09-06-2022
Honor,FitnessBand,Band 3,Dynamic Orange,"2,499",9,4.3,Plastic,7,23-08-2023
APPLE,Smartwatch,Series 6 GPS 44 mm Blue Aluminium Case,Deep Navy,"43,900",14,4.5,Aluminium,1,17-03-2022
boAt,FitnessBand,Band 4,Black,"1,899",9,4.2,Silicone,7,26-07-2023
APPLE,Smartwatch,Gen 3 Q Explorist,Blue,"15,034",16,4.3,Stainless Steel,2,16-09-2022
APPLE,Smartwatch,SE GPS + Cellular 44 mm Space Grey Aluminium Case,Charcoal,"33,900",19,4.6,Aluminium,1,08-02-2023
GARMIN,Smartwatch,GARMINInstinct Tactical,"Black, Brown","19,990",7,4.7,Silicone,7,23-08-2022
Crossbeats,Smartwatch,Ignite Pro,"Silver, Black","2,999",10,4.2,Silicone,7,04-07-2022
huami,Smartwatch,Amazfit GTS,Beige,"5,499",12,4.3,Silicone,14,15-08-2023
GARMIN,Smartwatch,Fenix 6,"Grey, Blue","77,990",23,,Nylon,45,15-10-2022
FitBit,FitnessBand,Charge 3,Grey ,"7,599",24,4.3,Silicone,7,14-12-2022
huami,Smartwatch,Amazfit GTS 2e,Purple,"7,999",25,4.2,Silicone,14,17-04-2023
APPLE,Smartwatch,Q Founder 2.0,Black,"19,995",8,4.2,Stainless Steel,1,30-10-2022
APPLE,Smartwatch,4th Gen Explorist HR,Grey,"10,998",16,3.9,Stainless Steel,2,04-01-2022
SAMSUNG ,Smartwatch,Galaxy Classic 4 LTE,Black,"28,999",14,5,Elastomer,14,22-03-2022
GARMIN,Smartwatch,Tronite,Brown,949,14,3.7,Silicone,3,16-04-2023
huami,Smartwatch,Amazfit Verge,Black,"5,999",17,4.2,Silicone,14,15-01-2022
APPLE,Smartwatch,Cameron Hybrid,Black,"8,995",18,4.6,Stainless Steel,12,29-04-2023
APPLE,Smartwatch,Rose Gold HR,Rose Gold ,"21,995",14,2.8,Stainless Steel,3,22-10-2022
FitBit,FitnessBand,Charge HR,Purple ,"6,990",9,3.9,Thermoplastic polyurethane,7,31-10-2022
huami,Smartwatch,Amazfit Bip S,Red,"2,999",25,3.9,Thermoplastic polyurethane,15,30-09-2022
APPLE,Smartwatch,Cameron Hybrid,Black,"8,995",13,4.6,Stainless Steel,12,28-02-2022
realme,FitnessBand,BeFit,Black,"1,999",21,3.6,Thermoplastic polyurethane,7,15-08-2022
boAt,Smartwatch,GT Fortuna-B19S Sport,Black,"13,990",17,4.1,Elastomer,14,14-04-2022
APPLE,Smartwatch,Q GRANT,Grey,"6,995",17,4.6,Stainless Steel,7,13-01-2023
APPLE,Smartwatch,Series 5 GPS + Cellular 44 mm Gold Aluminium Case,Pink Sand,"52,900",6,4.7,Aluminium,1,14-10-2022
GARMIN,Smartwatch,Vivomove 3S,Black,"19,990",18,,Silicone,14,12-08-2023
